STATISTIC,Statistic Label,C03171V03833,Area of Residence,C02854V03432,ICD 10 Diagnostic Group,TLIST(A1),Year,UNIT,VALUE
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.13
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.54
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.21
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.14
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.06
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,1.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,1.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,1.82
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,1.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,2.14
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.73
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,1.02
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.73
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.81
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,1.04
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.56
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.44
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.48
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.44
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.48
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.43
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.41
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.29
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.24
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",70,Louth,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2007,2007,No. per 1000 Pop.,1.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2008,2008,No. per 1000 Pop.,1.45
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.66
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.01
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.79
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2013,2013,No. per 1000 Pop.,1.72
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2014,2014,No. per 1000 Pop.,1.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2015,2015,No. per 1000 Pop.,1.9
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2016,2016,No. per 1000 Pop.,1.88
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,1.59
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,1.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,1.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.1
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,1.93
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,1.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,1.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.68
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.54
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.62
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.73
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.81
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.83
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.31
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.38
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.36
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.24
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.27
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.3
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.22
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",80,Meath,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2007,2007,No. per 1000 Pop.,2.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2008,2008,No. per 1000 Pop.,1.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.94
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2011,2011,No. per 1000 Pop.,1.72
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2013,2013,No. per 1000 Pop.,1.63
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2014,2014,No. per 1000 Pop.,1.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2015,2015,No. per 1000 Pop.,1.95
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2016,2016,No. per 1000 Pop.,1.83
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.25
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.42
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.2
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.08
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.15
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,1.91
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.21
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,1.95
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,1.95
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,1.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.92
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.85
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.97
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.79
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.41
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.37
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.3
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.32
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.35
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.28
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2014,2014,No. per 1000 Pop.,0.27
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2015,2015,No. per 1000 Pop.,0.3
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2016,2016,No. per 1000 Pop.,0.33
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",90,Offaly,1800,External causes of injury and poisoning,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2007,2007,No. per 1000 Pop.,1.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2008,2008,No. per 1000 Pop.,1.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2009,2009,No. per 1000 Pop.,1.77
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2010,2010,No. per 1000 Pop.,1.79
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2011,2011,No. per 1000 Pop.,2.13
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2012,2012,No. per 1000 Pop.,1.99
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2013,2013,No. per 1000 Pop.,1.89
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2014,2014,No. per 1000 Pop.,2.05
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2015,2015,No. per 1000 Pop.,2.07
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2016,2016,No. per 1000 Pop.,2.02
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,200,Neoplasms,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2007,2007,No. per 1000 Pop.,2.35
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2008,2008,No. per 1000 Pop.,2.48
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2009,2009,No. per 1000 Pop.,2.23
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2010,2010,No. per 1000 Pop.,2.27
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2011,2011,No. per 1000 Pop.,2.1
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2012,2012,No. per 1000 Pop.,2.51
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2013,2013,No. per 1000 Pop.,2.48
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2014,2014,No. per 1000 Pop.,2.39
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2015,2015,No. per 1000 Pop.,1.86
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2016,2016,No. per 1000 Pop.,2.14
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,700,Diseases of the circulatory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2007,2007,No. per 1000 Pop.,0.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2008,2008,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2009,2009,No. per 1000 Pop.,0.81
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2010,2010,No. per 1000 Pop.,0.71
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2011,2011,No. per 1000 Pop.,0.78
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2012,2012,No. per 1000 Pop.,0.8
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2013,2013,No. per 1000 Pop.,0.92
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2014,2014,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2015,2015,No. per 1000 Pop.,0.87
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2016,2016,No. per 1000 Pop.,0.93
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,800,Diseases of the respiratory system,2017,2017,No. per 1000 Pop.,
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2007,2007,No. per 1000 Pop.,0.47
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2008,2008,No. per 1000 Pop.,0.34
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2009,2009,No. per 1000 Pop.,0.39
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2010,2010,No. per 1000 Pop.,0.42
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2011,2011,No. per 1000 Pop.,0.34
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2012,2012,No. per 1000 Pop.,0.26
G0315,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",100,Westmeath,1800,External causes of injury and poisoning,2013,2013,No. per 1000 Pop.,0.36
